textid	target	model	tokenizer	predicted	prob
269124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740042209625244
1796124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739977538585663
2152124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399173378944397
437124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.273989737033844
340124	8	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400466799736023
485124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399060130119324
2034124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739894986152649
454124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399593591690063
687124	17	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740003764629364
1808124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739936411380768
1348124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739931344985962
1252124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739892601966858
1774124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399227023124695
743124	14	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27402082085609436
1336124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739887535572052
1623124	19	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739860415458679
607124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399468421936035
2238124	18	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399173378944397
2263124	7	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740013599395752
71124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400362491607666
2205124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400121092796326
16124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739928364753723
1368124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399104833602905
1227124	12	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399104833602905
574124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739923894405365
438124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739958167076111
219124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27398887276649475
876124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739919424057007
252124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399230003356934
2359124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739947438240051
914124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740003168582916
1240124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740015685558319
1016124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399343252182007
392124	19	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739928662776947
2126124	13	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739901542663574
827124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739957869052887
2101124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399173378944397
347124	8	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739996612071991
2064124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739908695220947
1175124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399206161499023
1498124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400729060173035
2104124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399957180023193
1762124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739924490451813
533124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739967703819275
2524124	13	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739912271499634
942124	13	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399060130119324
2269124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399468421936035
319124	3	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739918529987335
1150124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400198578834534
2407124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739914357662201
234124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740071713924408
187124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400749921798706
1877124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27402812242507935
840124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740108370780945
466124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399781346321106
808124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739916741847992
1779124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399691939353943
2219124	10	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400997281074524
2151124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399957180023193
1306124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739945650100708
657124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400216460227966
1677124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740175127983093
1181124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399781346321106
1186124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399834990501404
1674124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.274010568857193
2282124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740095257759094
1885124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27398931980133057
2370124	5	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739967405796051
1275124	2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739934027194977
239124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739982604980469
38124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739897072315216
2386124	12	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399057149887085
892124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399301528930664
592124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399152517318726
1721124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740052342414856
1753124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399352192878723
2508124	3	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739901542663574
1650124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399367094039917
101124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739914655685425
1618124	19	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27398866415023804
1037124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739924490451813
656124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739948630332947
1627124	19	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739916741847992
893124	4	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739916145801544
282124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400094270706177
15124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739962935447693
369124	20	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27398940920829773
695124	17	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399083971977234
450124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739972174167633
1522124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739933431148529
194124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2740393280982971
972124	6	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27400338649749756
23124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399948239326477
742124	14	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.274007111787796
2215124	10	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399933338165283
1791124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739969491958618
1338124	0	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739998400211334
1817124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399519085884094
958124	15	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.27399080991744995
1487124	9	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739991545677185
1890124	1	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	Mistica-SpanishProDrop/LMs/RoBERTuito_test2	LABEL_1	0.2739991545677185
